award_value,organisation
1578000,The University of Oxford
1578000,The University of Oxford
495000,The University of Oxford
5334000,The University of Oxford
254000,The University of Oxford
1528000,The University of Oxford
1074000,The University of Oxford
2914000,The University of Oxford
116000,The University of Oxford
4101000,The University of Oxford
1138000,The University of Oxford
1215000,The University of Oxford
551000,The University of Oxford
961000,The University of Oxford
18000,The University of Oxford
371000,The University of Oxford
2042000,The University of Oxford
664000,The University of Oxford
23960000,The University of Oxford
461000,The University of Oxford
171000,The University of Oxford
500000,The University of Oxford
543000,The University of Oxford
1226000,The University of Oxford
211000,The University of Oxford
4794000,The University of Oxford
173000,The University of Oxford
409000,The University of Oxford
239000,The University of Oxford
400000,The University of Oxford
331000,The University of Oxford
417000,The University of Oxford
390000,The University of Oxford
523000,The University of Oxford
353000,The University of Oxford
351000,The University of Oxford
436000,The University of Oxford
295000,The University of Oxford
502000,The University of Oxford
1040000,The University of Oxford
5540000,The University of Oxford
605000,The University of Oxford
700000,The University of Oxford
5912000,The University of Oxford
506000,The University of Oxford
183000,The University of Portsmouth
101000,The University of Portsmouth
299000,The University of Portsmouth
287000,The University of Portsmouth
293000,The University of Portsmouth
12000,The University of Portsmouth
466000,The University of Portsmouth
354000,The University of Portsmouth
311000,The University of Portsmouth
9000,The University of Reading
159000,The University of Reading
99000,The University of Reading
99000,The University of Reading
739000,The University of Reading
99000,The University of Reading
63000,The University of Reading
616000,The University of Reading
101000,The University of Reading
1707000,The University of Reading
314000,The University of Reading
574000,The University of Reading
82000,The University of Reading
184000,The University of Reading
101000,The University of Reading
99000,The University of Reading
493000,The University of Reading
110000,The University of Reading
439000,The University of Reading
122000,The University of Reading
38000,The University of Reading
100000,The University of Reading
231000,The University of Reading
118000,The University of Reading
63000,The University of Reading
609000,The University of Reading
373000,The University of Reading
496000,The University of Salford
1241000,The University of Salford
94000,The University of Salford
1413000,The University of Salford
288000,The University of Salford
154000,The University of Salford
307000,The University of Sheffield
454000,The University of Sheffield
333000,The University of Sheffield
99000,The University of Sheffield
236000,The University of Sheffield
1004000,The University of Sheffield
502000,The University of Sheffield
3963000,The University of Sheffield
746000,The University of Sheffield
932000,The University of Sheffield
100000,The University of Sheffield
99000,The University of Sheffield
974000,The University of Sheffield
2191000,The University of Sheffield
96000,The University of Sheffield
433000,The University of Sheffield
1293000,The University of Sheffield
1193000,The University of Sheffield
205000,The University of Sheffield
311000,The University of Sheffield
420000,The University of Sheffield
721000,The University of Sheffield
508000,The University of Sheffield
100000,The University of Sheffield
99000,The University of Sheffield
513000,The University of Sheffield
1521000,The University of Sheffield
541000,The University of Sheffield
97000,The University of Sheffield
313000,The University of Sheffield
82000,The University of Sheffield
376000,The University of Sheffield
334000,The University of Sheffield
517000,The University of Sheffield
43000,The University of Sheffield
98000,The University of Sheffield
94000,The University of Sheffield
235000,The University of Sheffield
100000,The University of Sheffield
369000,The University of Sheffield
778000,The University of Sheffield
353000,The University of Sheffield
5639000,The University of Sheffield
251000,The University of Sheffield
484000,The University of Sheffield
270000,The University of Sheffield
492000,The University of Sheffield
356000,The University of Sheffield
101000,The University of Sheffield
346000,The University of Sheffield
4817000,The University of Sheffield
433000,The University of Sheffield
10315000,The University of Sheffield
627000,The University of Sheffield
4000,The University of Sheffield
101000,The University of Sheffield
228000,The University of Sheffield
354000,The University of Sheffield
101000,The University of Sheffield
338000,The University of Sheffield
461000,The University of Sheffield
1523000,The University of Sheffield
306000,The University of Sheffield
488000,The University of Sheffield
145000,The University of Sheffield
101000,The University of Sheffield
604000,The University of Sheffield
100000,The University of Sheffield
101000,The University of Sheffield
8000,The University of Sheffield
325000,The University of Sheffield
6234000,The University of Sheffield
253000,The University of Sheffield
1235000,The University of Sheffield
261000,The University of Sheffield
762000,The University of Sheffield
784000,The University of Sheffield
84000,The University of Sheffield
81000,The University of Sheffield
222000,The University of Sheffield
319000,The University of Sheffield
83000,The University of Sheffield
70000,The University of Sheffield
201000,The University of Sheffield
200000,The University of Sheffield
62000,The University of Sheffield
356000,The University of Sheffield
1667000,The University of Sheffield
881000,The University of Sheffield
3922000,The University of Sheffield
562000,The University of Sheffield
339000,The University of Sheffield
332000,The University of Sheffield
5113000,The University of Sheffield
1092000,The University of Sheffield
441000,The University of Sheffield
1526000,The University of Sheffield
101000,The University of Sheffield
570000,The University of Sheffield
17000,The University of Sheffield
253000,The University of Sheffield
101000,The University of Sheffield
170000,The University of Sheffield
522000,The University of Sheffield
349000,The University of Sheffield
1047000,The University of Sheffield
291000,The University of Sheffield
,The University of Sheffield
1011000,The University of Sheffield
101000,The University of Sheffield
406000,The University of Sheffield
1608000,The University of Sheffield
220000,The University of Sheffield
10000,The University of Sheffield
149000,The University of Sheffield
247000,The University of Sheffield
165000,The University of Sheffield
199000,The University of Sheffield
209000,The University of Sheffield
269000,The University of Sheffield
1285000,The University of Sheffield
379000,The University of Sheffield
1199000,The University of Sheffield
515000,The University of Sheffield
579000,The University of Sheffield
851000,The University of Sheffield
579000,The University of Sheffield
415000,The University of Sheffield
618000,The University of Sheffield
901000,The University of Sheffield
755000,The University of Sheffield
401000,The University of Sheffield
666000,The University of Sheffield
845000,The University of Sheffield
251000,The University of Sheffield
7291000,The University of Sheffield
641000,The University of Sheffield
375000,The University of Sheffield
10306000,The University of Sheffield
378000,The University of Sheffield
578000,The University of Sheffield
18000,The University of Sheffield
209000,The University of Sheffield
386000,The University of Sheffield
1011000,The University of Sheffield
83000,The University of Sheffield
1018000,The University of Sheffield
259000,The University of Sheffield
381000,The University of Sheffield
1433000,The University of Sheffield
979000,The University of Sheffield
371000,The University of Sheffield
1092000,The University of Sheffield
758000,The University of Sheffield
386000,The University of Sheffield
198000,The University of Sheffield
196000,The University of Sheffield
587000,The University of Sheffield
368000,The University of Sheffield
368000,The University of Sheffield
2158000,The University of Sheffield
398000,The University of Sheffield
409000,The University of Sheffield
253000,The University of Sheffield
250000,The University of Sheffield
1175000,The University of Sheffield
312000,The University of Sheffield
346000,The University of Sheffield
608000,The University of Sheffield
220000,The University of Sheffield
254000,The University of Sheffield
462000,The University of Sheffield
614000,The University of Sheffield
315000,The University of Sheffield
333000,The University of Sheffield
219000,The University of Sheffield
1033000,The University of Sheffield
446000,The University of Sheffield
549000,The University of Sheffield
2609000,The University of Sheffield
257000,The University of Sheffield
237000,The University of Sheffield
81000,The University of Sheffield
489000,The University of Southampton
5124000,The University of Southampton
188000,The University of Southampton
448000,The University of Southampton
388000,The University of Southampton
709000,The University of Southampton
494000,The University of Southampton
587000,The University of Southampton
291000,The University of Southampton
285000,The University of Southampton
271000,The University of Southampton
413000,The University of Southampton
10355000,The University of Southampton
278000,The University of Southampton
99000,The University of Southampton
641000,The University of Southampton
1783000,The University of Southampton
1478000,The University of Southampton
487000,The University of Southampton
1218000,The University of Southampton
806000,The University of Southampton
701000,The University of Southampton
199000,The University of Southampton
262000,The University of Southampton
288000,The University of Southampton
1162000,The University of Southampton
1669000,The University of Southampton
230000,The University of Southampton
94000,The University of Southampton
869000,The University of Southampton
370000,The University of Southampton
503000,The University of Southampton
53000,The University of Southampton
80000,The University of Southampton
4981000,The University of Southampton
27000,The University of Southampton
850000,The University of Southampton
101000,The University of Southampton
862000,The University of Southampton
99000,The University of Southampton
6332000,The University of Southampton
211000,The University of Southampton
150000,The University of Southampton
1150000,The University of Southampton
659000,The University of Southampton
14000,The University of Southampton
91000,The University of Southampton
557000,The University of Southampton
98000,The University of Southampton
254000,The University of Southampton
775000,The University of Southampton
1484000,The University of Southampton
1431000,The University of Southampton
650000,The University of Southampton
101000,The University of Southampton
98000,The University of Southampton
399000,The University of Southampton
430000,The University of Southampton
489000,The University of Southampton
11000,The University of Southampton
101000,The University of Southampton
101000,The University of Southampton
101000,The University of Southampton
800000,The University of Southampton
705000,The University of Southampton
787000,The University of Southampton
100000,The University of Southampton
1768000,The University of Southampton
6161000,The University of Southampton
1999000,The University of Southampton
111000,The University of Southampton
67000,The University of Southampton
277000,The University of Southampton
239000,The University of Southampton
357000,The University of Southampton
376000,The University of Southampton
505000,The University of Southampton
2220000,The University of Southampton
82000,The University of Southampton
1144000,The University of Southampton
4448000,The University of Southampton
10000,The University of Southampton
310000,The University of Southampton
653000,The University of Southampton
973000,The University of Southampton
93000,The University of Southampton
280000,The University of Southampton
449000,The University of Southampton
910000,The University of Southampton
1003000,The University of Southampton
783000,The University of Southampton
6296000,The University of Southampton
321000,The University of Southampton
215000,The University of Southampton
1019000,The University of Southampton
288000,The University of Southampton
131000,The University of Southampton
796000,The University of Southampton
682000,The University of Southampton
311000,The University of Southampton
242000,The University of Southampton
151000,The University of Southampton
223000,The University of Southampton
246000,The University of Southampton
245000,The University of Southampton
823000,The University of Southampton
187000,The University of Southampton
1014000,The University of Southampton
622000,The University of Southampton
487000,The University of Southampton
574000,The University of Southampton
439000,The University of Southampton
426000,The University of Southampton
833000,The University of Southampton
1078000,The University of Southampton
163000,The University of Southampton
911000,The University of Southampton
807000,The University of Southampton
251000,The University of Southampton
350000,The University of Southampton
653000,The University of Southampton
300000,The University of Southampton
2996000,The University of Southampton
195000,The University of Southampton
257000,The University of Southampton
223000,The University of Southampton
245000,The University of Southampton
475000,The University of Southampton
805000,The University of Southampton
856000,The University of Southampton
1143000,The University of Southampton
783000,The University of Southampton
1703000,The University of Southampton
305000,The University of Southampton
1180000,The University of Southampton
207000,The University of Southampton
1124000,The University of Southampton
1586000,The University of Southampton
394000,The University of Southampton
599000,The University of Southampton
52000,The University of Southampton
418000,The University of Southampton
668000,The University of Southampton
1494000,The University of Southampton
1314000,The University of Southampton
450000,The University of Southampton
609000,The University of Southampton
10000,The University of Southampton
96000,The University of Southampton
147000,The University of St Andrews
99000,The University of St Andrews
452000,The University of St Andrews
398000,The University of St Andrews
94000,The University of St Andrews
401000,The University of St Andrews
384000,The University of St Andrews
2076000,The University of St Andrews
736000,The University of St Andrews
887000,The University of St Andrews
366000,The University of St Andrews
1221000,The University of St Andrews
357000,The University of St Andrews
5023000,The University of St Andrews
1434000,The University of St Andrews
378000,The University of St Andrews
387000,The University of St Andrews
384000,The University of St Andrews
758000,The University of St Andrews
424000,The University of St Andrews
336000,The University of St Andrews
204000,The University of St Andrews
1562000,The University of St Andrews
202000,The University of St Andrews
1420000,The University of St Andrews
385000,The University of St Andrews
438000,The University of St Andrews
1012000,The University of St Andrews
524000,The University of St Andrews
1023000,The University of St Andrews
516000,The University of St Andrews
737000,The University of St Andrews
262000,The University of St Andrews
459000,The University of St Andrews
100000,The University of St Andrews
398000,The University of St Andrews
35000,The University of St Andrews
400000,The University of St Andrews
500000,The University of St Andrews
483000,The University of St Andrews
659000,The University of St Andrews
367000,The University of St Andrews
319000,The University of St Andrews
498000,The University of St Andrews
423000,The University of St Andrews
30000,The University of St Andrews
1551000,The University of St Andrews
605000,The University of St Andrews
445000,The University of St Andrews
225000,The University of St Andrews
474000,The University of St Andrews
100000,The University of Stirling
255000,The University of Stirling
369000,The University of Stirling
285000,The University of Strathclyde
97000,The University of Strathclyde
508000,The University of Strathclyde
751000,The University of Strathclyde
183000,The University of Strathclyde
212000,The University of Strathclyde
174000,The University of Strathclyde
185000,The University of Strathclyde
13000,The University of Strathclyde
380000,The University of Strathclyde
72000,The University of Strathclyde
966000,The University of Strathclyde
99000,The University of Strathclyde
1988000,The University of Strathclyde
999000,The University of Strathclyde
282000,The University of Strathclyde
4495000,The University of Strathclyde
99000,The University of Strathclyde
298000,The University of Strathclyde
452000,The University of Strathclyde
99000,The University of Strathclyde
730000,The University of Strathclyde
517000,The University of Strathclyde
400000,The University of Strathclyde
10480000,The University of Strathclyde
269000,The University of Strathclyde
5835000,The University of Strathclyde
100000,The University of Strathclyde
904000,The University of Strathclyde
323000,The University of Strathclyde
847000,The University of Strathclyde
67000,The University of Strathclyde
1683000,The University of Strathclyde
101000,The University of Strathclyde
1288000,The University of Strathclyde
1177000,The University of Strathclyde
231000,The University of Strathclyde
81000,The University of Strathclyde
42000,The University of Strathclyde
35000,The University of Strathclyde
413000,The University of Strathclyde
26000,The University of Strathclyde
202000,The University of Strathclyde
118000,The University of Strathclyde
60000,The University of Strathclyde
152000,The University of Strathclyde
587000,The University of Strathclyde
762000,The University of Strathclyde
2161000,The University of Strathclyde
1142000,The University of Strathclyde
809000,The University of Strathclyde
93000,The University of Strathclyde
161000,The University of Strathclyde
264000,The University of Strathclyde
313000,The University of Strathclyde
190000,The University of Strathclyde
1965000,The University of Strathclyde
250000,The University of Strathclyde
373000,The University of Strathclyde
203000,The University of Strathclyde
14000,The University of Strathclyde
284000,The University of Strathclyde
476000,The University of Strathclyde
342000,The University of Strathclyde
2488000,The University of Strathclyde
361000,The University of Strathclyde
539000,The University of Strathclyde
460000,The University of Strathclyde
200000,The University of Strathclyde
413000,The University of Strathclyde
519000,The University of Strathclyde
569000,The University of Strathclyde
703000,The University of Strathclyde
7966000,The University of Strathclyde
383000,The University of Strathclyde
936000,The University of Strathclyde
475000,The University of Strathclyde
213000,The University of Strathclyde
5495000,The University of Strathclyde
653000,The University of Strathclyde
194000,The University of Strathclyde
2177000,The University of Strathclyde
384000,The University of Strathclyde
364000,The University of Strathclyde
5814000,The University of Strathclyde
260000,The University of Strathclyde
325000,The University of Strathclyde
335000,The University of Strathclyde
935000,The University of Strathclyde
742000,The University of Strathclyde
200000,The University of Strathclyde
2806000,The University of Strathclyde
348000,The University of Strathclyde
51000,The University of Sunderland
99000,The University of Surrey
24000,The University of Surrey
99000,The University of Surrey
357000,The University of Surrey
98000,The University of Surrey
336000,The University of Surrey
20000,The University of Surrey
1477000,The University of Surrey
399000,The University of Surrey
6104000,The University of Surrey
2601000,The University of Surrey
1275000,The University of Surrey
2950000,The University of Surrey
396000,The University of Surrey
377000,The University of Surrey
381000,The University of Surrey
208000,The University of Surrey
1099000,The University of Surrey
345000,The University of Surrey
253000,The University of Surrey
855000,The University of Surrey
213000,The University of Surrey
364000,The University of Surrey
165000,The University of Surrey
337000,The University of Surrey
14000,The University of Surrey
109000,The University of Surrey
95000,The University of Surrey
513000,The University of Surrey
789000,The University of Surrey
321000,The University of Surrey
101000,The University of Surrey
673000,The University of Surrey
881000,The University of Surrey
42000,The University of Surrey
1577000,The University of Surrey
385000,The University of Surrey
228000,The University of Surrey
953000,The University of Surrey
1194000,The University of Surrey
101000,The University of Surrey
487000,The University of Surrey
614000,The University of Surrey
420000,The University of Surrey
101000,The University of Surrey
498000,The University of Surrey
1016000,The University of Surrey
82000,The University of Surrey
101000,The University of Surrey
981000,The University of Surrey
101000,The University of Surrey
579000,The University of Surrey
1554000,The University of Surrey
7933000,The University of Surrey
247000,The University of Surrey
1025000,The University of Surrey
398000,The University of Surrey
972000,The University of Surrey
357000,The University of Surrey
191000,The University of Surrey
430000,The University of Surrey
212000,The University of Surrey
525000,The University of Surrey
436000,The University of Surrey
150000,The University of Surrey
390000,The University of Surrey
633000,The University of Surrey
346000,The University of Surrey
252000,The University of Surrey
304000,The University of Surrey
261000,The University of Surrey
234000,The University of Surrey
383000,The University of Surrey
214000,The University of Surrey
464000,The University of Surrey
532000,The University of Surrey
249000,The University of Surrey
1570000,The University of Surrey
2120000,The University of Surrey
300000,The University of Surrey
501000,The University of Surrey
1205000,The University of Sussex
481000,The University of Sussex
99000,The University of Sussex
1023000,The University of Sussex
348000,The University of Sussex
101000,The University of Sussex
433000,The University of Sussex
101000,The University of Sussex
101000,The University of Sussex
101000,The University of Sussex
429000,The University of Sussex
101000,The University of Sussex
99000,The University of Sussex
57000,The University of Sussex
363000,The University of Sussex
744000,The University of Sussex
101000,The University of Sussex
77000,The University of Sussex
312000,The University of Sussex
152000,The University of Sussex
251000,The University of Sussex
642000,The University of Sussex
623000,The University of Sussex
100000,The University of Sussex
954000,The University of Sussex
156000,The University of Sussex
236000,The University of Sussex
397000,The University of Sussex
188000,The University of Warwick
1293000,The University of Warwick
515000,The University of Warwick
932000,The University of Warwick
100000,The University of Warwick
180000,The University of Warwick
99000,The University of Warwick
99000,The University of Warwick
99000,The University of Warwick
97000,The University of Warwick
1151000,The University of Warwick
204000,The University of Warwick
490000,The University of Warwick
100000,The University of Warwick
1160000,The University of Warwick
1657000,The University of Warwick
3381000,The University of Warwick
1239000,The University of Warwick
262000,The University of Warwick
109000,The University of Warwick
224000,The University of Warwick
1235000,The University of Warwick
1194000,The University of Warwick
803000,The University of Warwick
418000,The University of Warwick
183000,The University of Warwick
391000,The University of Warwick
329000,The University of Warwick
131000,The University of Warwick
457000,The University of Warwick
101000,The University of Warwick
316000,The University of Warwick
231000,The University of Warwick
752000,The University of Warwick
100000,The University of Warwick
66000,The University of Warwick
6000,The University of Warwick
134000,The University of Warwick
727000,The University of Warwick
356000,The University of Warwick
901000,The University of Warwick
306000,The University of Warwick
348000,The University of Warwick
20000,The University of Warwick
609000,The University of Warwick
236000,The University of Warwick
882000,The University of Warwick
730000,The University of Warwick
15000,The University of Warwick
108000,The University of Warwick
101000,The University of Warwick
494000,The University of Warwick
316000,The University of Warwick
1998000,The University of Warwick
998000,The University of Warwick
119000,The University of Warwick
171000,The University of Warwick
101000,The University of Warwick
1218000,The University of Warwick
1194000,The University of Warwick
101000,The University of Warwick
2647000,The University of Warwick
82000,The University of Warwick
205000,The University of Warwick
49000,The University of Warwick
101000,The University of Warwick
1060000,The University of Warwick
370000,The University of Warwick
336000,The University of Warwick
326000,The University of Warwick
43000,The University of Warwick
903000,The University of Warwick
227000,The University of Warwick
194000,The University of Warwick
7889000,The University of Warwick
353000,The University of Warwick
474000,The University of Warwick
683000,The University of Warwick
2950000,The University of Warwick
238000,The University of Warwick
443000,The University of Warwick
99000,The University of Warwick
5389000,The University of Warwick
330000,The University of Warwick
610000,The University of Warwick
1081000,The University of Warwick
353000,The University of Warwick
409000,The University of Warwick
250000,The University of Warwick
3568000,The University of Warwick
25000,The University of Warwick
328000,The University of Warwick
653000,The University of Warwick
298000,The University of Warwick
387000,The University of Warwick
512000,The University of Warwick
,The University of Warwick
429000,The University of Warwick
386000,The University of Warwick
246000,The University of Warwick
1016000,The University of Warwick
234000,The University of Warwick
686000,The University of Warwick
310000,The University of Warwick
394000,The University of Warwick
1747000,The University of Warwick
622000,The University of Warwick
197000,The University of Warwick
635000,The University of Warwick
114000,The University of Warwick
181000,The University of Warwick
86000,The University of Warwick
901000,The University of Warwick
2431000,The University of Warwick
306000,The University of Warwick
515000,The University of Warwick
363000,The University of Warwick
14000,The University of Warwick
275000,The University of Warwick
491000,The University of Warwick
60000,The University of Warwick
673000,The University of Westminster
4040000,The University of York
1767000,The University of York
684000,The University of York
637000,The University of York
99000,The University of York
94000,The University of York
2049000,The University of York
795000,The University of York
194000,The University of York
613000,The University of York
13000,The University of York
414000,The University of York
397000,The University of York
990000,The University of York
799000,The University of York
823000,The University of York
453000,The University of York
101000,The University of York
79000,The University of York
101000,The University of York
472000,The University of York
1127000,The University of York
479000,The University of York
68000,The University of York
371000,The University of York
1182000,The University of York
100000,The University of York
101000,The University of York
360000,The University of York
377000,The University of York
101000,The University of York
367000,The University of York
1081000,The University of York
12000,The University of York
1167000,The University of York
810000,The University of York
213000,The University of York
508000,The University of York
4349000,The University of York
1012000,The University of York
132000,The University of York
563000,The University of York
201000,The University of York
398000,The University of York
125000,The University of York
213000,The University of York
465000,The University of York
372000,The University of York
3251000,The University of York
23962000,The University of York
431000,The University of York
734000,The University of York
443000,The University of York
404000,The University of York
551000,The University of York
548000,The University of York
353000,The University of York
250000,The University of York
53000,The University of York
290000,The University of the West of Scotland
376000,Ulster University
326000,Ulster University
101000,Ulster University
1095000,Ulster University
492000,Ulster University
50000,Ulster University
137000,Ulster University
212000,Ulster University
603000,Ulster University
100000,Ulster University
873000,University College London
4001000,University College London
582000,University College London
701000,University College London
424000,University College London
679000,University College London
779000,University College London
76000,University College London
1402000,University College London
265000,University College London
463000,University College London
182000,University College London
296000,University College London
808000,University College London
101000,University College London
344000,University College London
366000,University College London
310000,University College London
557000,University College London
98000,University College London
405000,University College London
797000,University College London
297000,University College London
37000,University College London
98000,University College London
363000,University College London
8549000,University College London
778000,University College London
301000,University College London
85000,University College London
665000,University College London
395000,University College London
1088000,University College London
1003000,University College London
100000,University College London
993000,University College London
243000,University College London
99000,University College London
400000,University College London
4560000,University College London
1946000,University College London
1520000,University College London
836000,University College London
990000,University College London
1489000,University College London
985000,University College London
639000,University College London
924000,University College London
1211000,University College London
969000,University College London
592000,University College London
870000,University College London
337000,University College London
505000,University College London
649000,University College London
101000,University College London
533000,University College London
532000,University College London
304000,University College London
45000,University College London
133000,University College London
248000,University College London
390000,University College London
779000,University College London
1373000,University College London
544000,University College London
101000,University College London
337000,University College London
448000,University College London
773000,University College London
10317000,University College London
202000,University College London
524000,University College London
882000,University College London
101000,University College London
561000,University College London
272000,University College London
707000,University College London
1239000,University College London
735000,University College London
735000,University College London
198000,University College London
472000,University College London
629000,University College London
107000,University College London
341000,University College London
329000,University College London
4000000,University College London
787000,University College London
91000,University College London
101000,University College London
351000,University College London
27000,University College London
524000,University College London
694000,University College London
1564000,University College London
553000,University College London
506000,University College London
57000,University College London
948000,University College London
356000,University College London
892000,University College London
837000,University College London
92000,University College London
521000,University College London
774000,University College London
494000,University College London
1331000,University College London
1998000,University College London
617000,University College London
5939000,University College London
198000,University College London
133000,University College London
100000,University College London
49000,University College London
99000,University College London
41000,University College London
106000,University College London
60000,University College London
125000,University College London
71000,University College London
347000,University College London
1081000,University College London
4301000,University College London
151000,University College London
774000,University College London
100000,University College London
802000,University College London
6146000,University College London
82000,University College London
626000,University College London
962000,University College London
375000,University College London
7000,University College London
101000,University College London
809000,University College London
6968000,University College London
1036000,University College London
1231000,University College London
253000,University College London
117000,University College London
6000,University College London
101000,University College London
673000,University College London
411000,University College London
1832000,University College London
863000,University College London
497000,University College London
7033000,University College London
368000,University College London
489000,University College London
331000,University College London
1895000,University College London
216000,University College London
623000,University College London
759000,University College London
471000,University College London
412000,University College London
226000,University College London
316000,University College London
464000,University College London
6106000,University College London
251000,University College London
253000,University College London
369000,University College London
247000,University College London
116000,University College London
39000,University College London
730000,University College London
328000,University College London
395000,University College London
613000,University College London
582000,University College London
583000,University College London
510000,University College London
719000,University College London
1903000,University College London
287000,University College London
465000,University College London
357000,University College London
975000,University College London
248000,University College London
357000,University College London
371000,University College London
318000,University College London
133000,University College London
297000,University College London
425000,University College London
850000,University College London
957000,University College London
957000,University College London
1010000,University College London
952000,University College London
907000,University College London
492000,University College London
859000,University College London
693000,University College London
393000,University College London
4901000,University College London
9000,University College London
8762000,University College London
1201000,University College London
801000,University College London
856000,University College London
759000,University College London
13850000,University College London
555000,University College London
854000,University College London
350000,University College London
385000,University College London
694000,University College London
487000,University College London
2284000,University College London
480000,University College London
583000,University College London
1374000,University College London
836000,University College London
267000,University College London
1234000,University College London
388000,University College London
471000,University College London
444000,University College London
370000,University College London
1059000,University College London
1249000,University College London
4510000,University College London
650000,University College London
558000,University College London
3000,University College London
278000,University College London
428000,University College London
1120000,University College London
476000,University College London
229000,University College London
6123000,University College London
110000,University College London
88000,University College London
144000,University College London
198000,University of Chester
2000,University of Durham
98000,University of Durham
344000,University of Durham
180000,University of Durham
349000,University of Durham
995000,University of Durham
99000,University of Durham
97000,University of Durham
100000,University of Durham
710000,University of Durham
394000,University of Durham
526000,University of Durham
2270000,University of Durham
99000,University of Durham
1412000,University of Durham
5101000,University of Durham
101000,University of Durham
100000,University of Durham
101000,University of Durham
254000,University of Durham
101000,University of Durham
273000,University of Durham
1035000,University of Durham
903000,University of Durham
6731000,University of Durham
97000,University of Durham
805000,University of Durham
517000,University of Durham
687000,University of Durham
319000,University of Durham
402000,University of Durham
11000,University of Durham
100000,University of Durham
583000,University of Durham
2000,University of Durham
320000,University of Durham
1270000,University of Durham
1109000,University of Durham
370000,University of Durham
165000,University of Durham
201000,University of Durham
1276000,University of Durham
109000,University of Durham
1762000,University of Durham
877000,University of Durham
368000,University of Durham
101000,University of Durham
372000,University of Durham
441000,University of Durham
1012000,University of Durham
218000,University of Durham
2000,University of Durham
139000,University of Durham
466000,University of Durham
459000,University of Durham
591000,University of Durham
756000,University of Durham
568000,University of Durham
150000,University of Durham
436000,University of Durham
1171000,University of Durham
1171000,University of Durham
966000,University of Durham
408000,University of Durham
771000,University of Durham
738000,University of Durham
201000,University of Durham
22000,University of Durham
805000,University of Durham
906000,University of Durham
3156000,University of Durham
1160000,University of Durham
1014000,University of Durham
275000,University of Durham
272000,University of Durham
273000,University of Durham
163000,University of Durham
295000,University of Durham
160000,University of Durham
140000,University of Exeter
1926000,University of Hertfordshire
219000,University of Hertfordshire
139000,University of Hertfordshire
578000,University of Hertfordshire
121000,University of Hertfordshire
100000,University of Hertfordshire
149000,University of Hertfordshire
98000,University of Northumbria at Newcastle
98000,University of Northumbria at Newcastle
101000,University of Northumbria at Newcastle
429000,University of Northumbria at Newcastle
231000,University of Northumbria at Newcastle
98000,University of Northumbria at Newcastle
290000,University of Northumbria at Newcastle
346000,University of Northumbria at Newcastle
100000,University of Northumbria at Newcastle
98000,University of Northumbria at Newcastle
885000,University of Northumbria at Newcastle
99000,University of Northumbria at Newcastle
164000,University of Northumbria at Newcastle
101000,University of Northumbria at Newcastle
16000,University of Northumbria at Newcastle
191000,University of Northumbria at Newcastle
828000,University of Northumbria at Newcastle
347000,University of Northumbria at Newcastle
325000,University of Northumbria at Newcastle
215000,University of Northumbria at Newcastle
347000,University of Northumbria at Newcastle
240000,University of Northumbria at Newcastle
49000,University of Northumbria at Newcastle
558000,University of Nottingham
99000,University of Nottingham
100000,University of Nottingham
4063000,University of Nottingham
99000,University of Nottingham
632000,University of Nottingham
100000,University of Nottingham
311000,University of Nottingham
240000,University of Nottingham
5366000,University of Nottingham
101000,University of Nottingham
97000,University of Nottingham
395000,University of Nottingham
12000,University of Nottingham
198000,University of Nottingham
132000,University of Nottingham
269000,University of Nottingham
76000,University of Nottingham
513000,University of Nottingham
276000,University of Nottingham
385000,University of Nottingham
100000,University of Nottingham
100000,University of Nottingham
783000,University of Nottingham
100000,University of Nottingham
551000,University of Nottingham
451000,University of Nottingham
3532000,University of Nottingham
101000,University of Nottingham
634000,University of Nottingham
1141000,University of Nottingham
441000,University of Nottingham
707000,University of Nottingham
539000,University of Nottingham
783000,University of Nottingham
593000,University of Nottingham
202000,University of Nottingham
90000,University of Nottingham
149000,University of Nottingham
171000,University of Nottingham
112000,University of Nottingham
1004000,University of Nottingham
843000,University of Nottingham
446000,University of Nottingham
511000,University of Nottingham
938000,University of Nottingham
412000,University of Nottingham
320000,University of Nottingham
10447000,University of Nottingham
341000,University of Nottingham
770000,University of Nottingham
294000,University of Nottingham
6486000,University of Nottingham
661000,University of Nottingham
911000,University of Nottingham
445000,University of Nottingham
283000,University of Nottingham
333000,University of Nottingham
1734000,University of Nottingham
2019000,University of Nottingham
5852000,University of Nottingham
99000,University of Nottingham
440000,University of Nottingham
201000,University of Nottingham
202000,University of Nottingham
202000,University of Nottingham
101000,University of Nottingham
101000,University of Nottingham
387000,University of Nottingham
975000,University of Nottingham
1079000,University of Nottingham
1355000,University of Nottingham
6144000,University of Nottingham
392000,University of Nottingham
261000,University of Nottingham
156000,University of Nottingham
103000,University of Nottingham
