award_value,organisation
27000,Newcastle University
36000,Newcastle University
36000,Newcastle University
92000,Newcastle University
45000,Newcastle University
608000,Newcastle University
25000,Oxford Brookes University
36000,Oxford Brookes University
81000,Oxford Brookes University
707000,Oxford Brookes University
202000,Oxford Brookes University
43000,Oxford Brookes University
165000,Queen Mary University of London
36000,Queen Mary University of London
79000,Queen Mary University of London
225000,Queen Mary University of London
80000,Queen Mary University of London
86000,Queen Mary University of London
181000,Queen Mary University of London
87000,Queen Mary University of London
203000,Queen Mary University of London
84000,Queen Mary University of London
71000,Queen Mary University of London
36000,Queen Mary University of London
60000,Queen Mary University of London
60000,Queen Mary University of London
200000,Queen Mary University of London
267000,Queen Mary University of London
193000,Queen Mary University of London
119000,Queen Mary University of London
201000,Queen Mary University of London
201000,Queen Mary University of London
91000,Queen Mary University of London
304000,Queen Mary University of London
202000,Queen Mary University of London
24000,Queen Mary University of London
180000,Queen Mary University of London
284000,Queen Mary University of London
200000,Queen's University Belfast
78000,Queen's University Belfast
741000,Queen's University Belfast
21000,Queen's University Belfast
607000,Queen's University Belfast
40000,Queen's University Belfast
653000,Queen's University Belfast
619000,Queen's University Belfast
655000,Queen's University Belfast
128000,Queen's University Belfast
33000,Queen's University Belfast
74000,Queen's University Belfast
80000,Queen's University Belfast
80000,Queen's University Belfast
557000,Queen's University Belfast
86000,Queen's University Belfast
1115000,Queen's University Belfast
80000,Queen's University Belfast
71000,Queen's University Belfast
195000,Queen's University Belfast
60000,Queen's University Belfast
36000,Queen's University Belfast
189000,Queen's University Belfast
33000,Queen's University Belfast
173000,Queen's University Belfast
32000,Queen's University Belfast
54000,Queen's University Belfast
39000,Roehampton University
175000,Roehampton University
81000,Roehampton University
285000,Roehampton University
32000,Royal Botanic Garden Edinburgh
145000,Royal College of Art
226000,Royal College of Art
30000,Royal College of Art
809000,Royal College of Music
35000,Royal College of Music
746000,Royal College of Music
81000,Royal College of Music
16000,Royal Conservatoire of Scotland
24000,Royal Conservatoire of Scotland
202000,Royal Conservatoire of Scotland
68000,Royal Holloway and Bedford New College
352000,Royal Holloway and Bedford New College
200000,Royal Holloway and Bedford New College
812000,Royal Holloway and Bedford New College
126000,Royal Holloway and Bedford New College
166000,Royal Holloway and Bedford New College
163000,Royal Holloway and Bedford New College
1266000,Royal Holloway and Bedford New College
397000,Royal Holloway and Bedford New College
313000,Royal Holloway and Bedford New College
298000,Royal Holloway and Bedford New College
200000,Royal Holloway and Bedford New College
5624000,Royal Holloway and Bedford New College
42000,Royal Holloway and Bedford New College
201000,Royal Holloway and Bedford New College
91000,Royal Holloway and Bedford New College
24000,Royal Holloway and Bedford New College
569000,SOAS University of London
454000,SOAS University of London
357000,SOAS University of London
36000,SOAS University of London
576000,SOAS University of London
793000,SOAS University of London
200000,SOAS University of London
805000,SOAS University of London
1843000,SOAS University of London
171000,SOAS University of London
89000,SOAS University of London
39000,SOAS University of London
201000,Science Museum Group
81000,Science Museum Group
36000,Science Museum Group
201000,Science Museum Group
24000,Sheffield Hallam University
83000,Sheffield Hallam University
36000,Sheffield Hallam University
130000,Sheffield Hallam University
182000,Swansea University
139000,Tate
71000,Tate
200000,Tate
24000,The Arts University Bournemouth
755000,The British Museum
30000,The British Museum
77000,The British Museum
78000,The British Museum
719000,The British Museum
255000,The British Museum
12000,The Manchester Metropolitan University
558000,The Manchester Metropolitan University
38000,The Manchester Metropolitan University
64000,The Manchester Metropolitan University
294000,The Manchester Metropolitan University
24000,The Manchester Metropolitan University
58000,The Manchester Metropolitan University
54000,The Manchester Metropolitan University
45000,The Manchester Metropolitan University
561000,The Manchester Metropolitan University
36000,The Manchester Metropolitan University
32000,The Manchester Metropolitan University
81000,The Manchester Metropolitan University
201000,The National Archives
219000,The National Archives
4826000,The National Film and Television School
220000,The National Gallery
188000,The Nottingham Trent University
32000,The Nottingham Trent University
179000,The Nottingham Trent University
231000,The Nottingham Trent University
80000,The Nottingham Trent University
36000,The Nottingham Trent University
57000,The Nottingham Trent University
73000,The Nottingham Trent University
81000,The Nottingham Trent University
78000,The Open University
36000,The Open University
789000,The Open University
506000,The Open University
409000,The Open University
48000,The Open University
51000,The Open University
36000,The Open University
159000,The Open University
52000,The Open University
199000,The Open University
72000,The Open University
93000,The Open University
183000,The Open University
145000,The Open University
1900000,The Open University
80000,The Robert Gordon University
410000,The Robert Gordon University
77000,The Royal Central School of Speech and Drama
24000,The Royal Central School of Speech and Drama
576000,The Royal Central School of Speech and Drama
37000,The Royal Central School of Speech and Drama
202000,The Royal Central School of Speech and Drama
35000,The University of Aberdeen
36000,The University of Aberdeen
80000,The University of Aberdeen
143000,The University of Aberdeen
81000,The University of Aberdeen
64000,The University of Aberdeen
27000,The University of Aberdeen
36000,The University of Aberdeen
284000,The University of Aberdeen
79000,The University of Bath
81000,The University of Bath
51000,The University of Bath
131000,The University of Bath
93000,The University of Bath
1841000,The University of Bath
550000,The University of Birmingham
109000,The University of Birmingham
39000,The University of Birmingham
199000,The University of Birmingham
35000,The University of Birmingham
196000,The University of Birmingham
755000,The University of Birmingham
79000,The University of Birmingham
34000,The University of Birmingham
79000,The University of Birmingham
296000,The University of Birmingham
35000,The University of Birmingham
482000,The University of Birmingham
47000,The University of Birmingham
202000,The University of Birmingham
48000,The University of Birmingham
48000,The University of Birmingham
617000,The University of Birmingham
81000,The University of Birmingham
79000,The University of Birmingham
191000,The University of Birmingham
160000,The University of Birmingham
181000,The University of Birmingham
28000,The University of Birmingham
59000,The University of Birmingham
307000,The University of Birmingham
48000,The University of Birmingham
46000,The University of Birmingham
31000,The University of Birmingham
60000,The University of Birmingham
155000,The University of Birmingham
172000,The University of Birmingham
81000,The University of Birmingham
81000,The University of Birmingham
202000,The University of Birmingham
45000,The University of Birmingham
202000,The University of Birmingham
159000,The University of Birmingham
202000,The University of Birmingham
36000,The University of Birmingham
195000,The University of Birmingham
142000,The University of Birmingham
138000,The University of Birmingham
1739000,The University of Birmingham
88000,The University of Birmingham
1868000,The University of Birmingham
284000,The University of Birmingham
196000,The University of Bradford
206000,The University of Bradford
80000,The University of Bradford
122000,The University of Bradford
42000,The University of Bradford
84000,The University of Bradford
128000,The University of Bradford
12000,The University of Brighton
203000,The University of Brighton
79000,The University of Brighton
142000,The University of Brighton
80000,The University of Brighton
244000,The University of Brighton
80000,The University of Brighton
59000,The University of Brighton
174000,The University of Brighton
186000,The University of Brighton
201000,The University of Brighton
81000,The University of Brighton
64000,The University of Brighton
77000,The University of Bristol
32000,The University of Bristol
20000,The University of Bristol
63000,The University of Bristol
120000,The University of Bristol
35000,The University of Bristol
767000,The University of Bristol
81000,The University of Bristol
80000,The University of Bristol
1176000,The University of Bristol
81000,The University of Bristol
492000,The University of Bristol
198000,The University of Bristol
201000,The University of Bristol
35000,The University of Bristol
75000,The University of Bristol
75000,The University of Bristol
79000,The University of Bristol
188000,The University of Bristol
156000,The University of Bristol
162000,The University of Bristol
24000,The University of Bristol
202000,The University of Bristol
156000,The University of Bristol
59000,The University of Bristol
190000,The University of Bristol
177000,The University of Bristol
345000,The University of Bristol
199000,The University of Bristol
54000,The University of Bristol
,The University of Bristol
84000,The University of Bristol
87000,The University of Bristol
804000,The University of Bristol
178000,The University of Bristol
813000,The University of Bristol
136000,The University of Bristol
1856000,The University of Bristol
284000,The University of Bristol
80000,The University of Bristol
677000,The University of Cambridge
345000,The University of Cambridge
36000,The University of Cambridge
667000,The University of Cambridge
3213000,The University of Cambridge
449000,The University of Cambridge
159000,The University of Cambridge
406000,The University of Cambridge
35000,The University of Cambridge
194000,The University of Cambridge
727000,The University of Cambridge
88000,The University of Cambridge
80000,The University of Cambridge
83000,The University of Cambridge
199000,The University of Cambridge
22000,The University of Cambridge
24000,The University of Cambridge
184000,The University of Cambridge
53000,The University of Cambridge
151000,The University of Cambridge
151000,The University of Cambridge
815000,The University of Cambridge
48000,The University of Cambridge
48000,The University of Cambridge
202000,The University of Cambridge
80000,The University of Cambridge
50000,The University of Cambridge
54000,The University of Cambridge
285000,The University of Cambridge
285000,The University of Cambridge
81000,The University of Cambridge
191000,The University of Central Lancashire
93000,The University of Central Lancashire
757000,The University of Central Lancashire
93000,The University of Central Lancashire
80000,The University of Central Lancashire
216000,The University of Dundee
202000,The University of Dundee
24000,The University of East Anglia
34000,The University of East Anglia
178000,The University of East Anglia
78000,The University of East Anglia
779000,The University of East Anglia
627000,The University of East Anglia
214000,The University of East Anglia
202000,The University of East Anglia
78000,The University of East Anglia
25000,The University of East Anglia
202000,The University of East Anglia
77000,The University of East Anglia
80000,The University of East Anglia
201000,The University of East Anglia
397000,The University of East Anglia
202000,The University of East Anglia
187000,The University of East Anglia
526000,The University of East Anglia
40000,The University of East Anglia
82000,The University of East Anglia
91000,The University of East Anglia
30000,The University of East Anglia
198000,The University of East Anglia
55000,The University of East Anglia
296000,The University of East Anglia
46000,The University of East Anglia
25000,The University of East London
186000,The University of Edinburgh
25000,The University of Edinburgh
33000,The University of Edinburgh
24000,The University of Edinburgh
187000,The University of Edinburgh
115000,The University of Edinburgh
32000,The University of Edinburgh
81000,The University of Edinburgh
79000,The University of Edinburgh
35000,The University of Edinburgh
36000,The University of Edinburgh
81000,The University of Edinburgh
141000,The University of Edinburgh
161000,The University of Edinburgh
162000,The University of Edinburgh
91000,The University of Edinburgh
104000,The University of Edinburgh
202000,The University of Edinburgh
135000,The University of Edinburgh
60000,The University of Edinburgh
154000,The University of Edinburgh
5620000,The University of Edinburgh
183000,The University of Edinburgh
81000,The University of Edinburgh
86000,The University of Edinburgh
83000,The University of Edinburgh
32000,The University of Edinburgh
36000,The University of Edinburgh
