fy_decision_date,ukri_council,grant_category,reference,organisation
2016-17,BBSRC,Research and Innovation Grant,BB/N016866/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N016947/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N016947/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N016947/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N016947/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N01698X/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N01698X/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N01698X/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N017005/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N017099/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N017129/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N017145/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/N017145/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/N017161/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/N017161/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/N01720X/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/N01720X/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/N017242/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/N017307/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N017307/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N017315/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N017331/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/N017412/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N017544/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/N017544/1,The Manchester Metropolitan University
2016-17,BBSRC,Research and Innovation Grant,BB/N017544/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/N017609/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N017757/1,Queen's University Belfast
2016-17,BBSRC,Research and Innovation Grant,BB/N017757/1,Agri-Food and Biosciences Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N017757/1,Agri-Food and Biosciences Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N017757/1,Agri-Food and Biosciences Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N017765/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/N017765/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/N017773/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N017838/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/N017854/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/N018044/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N018095/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N018095/1,Aberystwyth University
2016-17,BBSRC,Research and Innovation Grant,BB/N018095/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N018095/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N018176/1,Birkbeck College
2016-17,BBSRC,Research and Innovation Grant,BB/N018214/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N01832X/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/N018354/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N018354/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N018419/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/N018419/1,Scottish National Blood Transfusion Serv
2016-17,BBSRC,Research and Innovation Grant,BB/N018419/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N018419/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/N018427/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/N018508/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/N018516/1,The University of St Andrews
2016-17,BBSRC,Research and Innovation Grant,BB/N018532/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/N018532/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/N018540/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N018575/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N018575/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N018656/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/N018672/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N018672/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N018680/1,The Francis Crick Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N018729/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N01877X/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/N01877X/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/N018818/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N018869/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N018877/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N018877/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N01894X/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N01894X/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N019008/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N019113/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/N019113/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019113/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019113/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/N019113/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N019113/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N019172/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019172/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019180/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N019199/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019199/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019202/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N019253/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/N019431/1,The University of Bristol
2016-17,BBSRC,Research and Innovation Grant,BB/N019466/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/N019466/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019474/1,Babraham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019482/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019512/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/N019547/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N019547/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N019547/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N019547/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N019547/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N019547/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N019563/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N019563/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Fellowship,BB/N019814/1,The University of Oxford
2016-17,BBSRC,Fellowship,BB/N01992X/1,The University of Oxford
2016-17,BBSRC,Fellowship,BB/N019970/1,The University of Leeds
2016-17,BBSRC,Fellowship,BB/N019997/1,The University of Manchester
2016-17,BBSRC,Fellowship,BB/N020146/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N020499/1,Cranfield University
2016-17,BBSRC,Research and Innovation Grant,BB/N020499/1,Cranfield University
2016-17,BBSRC,Research and Innovation Grant,BB/N020499/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N020499/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/N020499/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/N020499/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/N020545/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N02060X/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N020618/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N020626/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N020626/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N020707/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N020790/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N020790/1,London School of Hygiene and Tropical Medicine
2016-17,BBSRC,Research and Innovation Grant,BB/N020790/1,London School of Hygiene and Tropical Medicine
2016-17,BBSRC,Research and Innovation Grant,BB/N020790/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N020790/1,The University of Lincoln
2016-17,BBSRC,Research and Innovation Grant,BB/N020790/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N020847/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N020847/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N020847/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N020847/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N020979/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N020987/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N020987/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N020987/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N020987/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N021002/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N021002/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N021002/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N021002/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N021002/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N02107X/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N02107X/1,"University of the West of England, Bristol"
2016-17,BBSRC,Research and Innovation Grant,BB/N021096/1,Quadram Institute Bioscience
2016-17,BBSRC,Research and Innovation Grant,BB/N02110X/1,Quadram Institute Bioscience
2016-17,BBSRC,Research and Innovation Grant,BB/N021126/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021126/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021126/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021126/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021150/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/N021150/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/N021150/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/N021185/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021185/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N021185/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021185/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021274/1,The University of Surrey
2016-17,BBSRC,Research and Innovation Grant,BB/N021274/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N021274/1,The University of Surrey
2016-17,BBSRC,Research and Innovation Grant,BB/N021274/1,The University of Surrey
2016-17,BBSRC,Research and Innovation Grant,BB/N021398/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N021398/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N021398/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/N021452/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/N021452/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N021460/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021460/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021460/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021460/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021576/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/N021576/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N021614/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N021614/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N021614/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N021630/1,The University of Strathclyde
2016-17,BBSRC,Research and Innovation Grant,BB/N021630/1,The University of Leicester
2016-17,BBSRC,Research and Innovation Grant,BB/N021649/1,University of Durham
2016-17,BBSRC,Research and Innovation Grant,BB/N021649/1,University of Durham
2016-17,BBSRC,Research and Innovation Grant,BB/N021681/1,The Pirbright Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N021703/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N021703/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N021703/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N021738/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N021738/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N021800/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021800/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N021800/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021800/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021800/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021800/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/N021827/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N021886/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N021886/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/N022106/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/N022106/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/N022157/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N022157/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N022157/1,The University of Stirling
2016-17,BBSRC,Research and Innovation Grant,BB/N022165/1,The University of Bath
2016-17,BBSRC,Research and Innovation Grant,BB/N022165/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/N022181/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N022181/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N022254/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N022254/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/N022696/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N022718/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N022718/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N022807/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/N022874/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N022874/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/N023013/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023013/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023013/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023129/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N023145/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N023145/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N023161/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N023161/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N02317X/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/N02317X/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N02317X/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/N023196/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N023196/1,The Natural History Museum
2016-17,BBSRC,Research and Innovation Grant,BB/N02320X/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N023242/1,EMBL - European Bioinformatics Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N023269/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N023269/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N023285/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/N023285/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/N023293/1,The University of St Andrews
2016-17,BBSRC,Research and Innovation Grant,BB/N023307/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N023307/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N02334X/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N02334X/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N02334X/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/N02334X/1,"University of the West of England, Bristol"
2016-17,BBSRC,Research and Innovation Grant,BB/N023358/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N023358/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/N023358/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023420/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N023420/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N023455/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/N023455/1,The James Hutton Institute
2016-17,BBSRC,Research and Innovation Grant,BB/N02348X/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/N02348X/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/N023501/1,The University of Kent
2016-17,BBSRC,Research and Innovation Grant,BB/N02351X/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/N02351X/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/N023536/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N023536/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/N023544/1,The University of Strathclyde
2016-17,BBSRC,Research and Innovation Grant,BB/N023544/1,The University of Strathclyde
2016-17,BBSRC,Research and Innovation Grant,BB/N023587/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/N023587/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/N023595/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/N023625/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/N023722/1,The University of Kent
2016-17,BBSRC,Research and Innovation Grant,BB/N023773/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023773/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023773/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/N023838/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/N023854/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/N023927/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P000037/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/P000037/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/P000169/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P000169/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P000215/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P000223/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/P000436/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P000436/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P000444/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P000479/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P000517/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/P000568/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P000592/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P000622/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P000622/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P000622/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P000649/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P000681/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P000681/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P00069X/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P000746/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/P000843/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P000851/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P000851/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P000851/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P000940/1,The University of Bristol
2016-17,BBSRC,Research and Innovation Grant,BB/P000940/1,The University of Bristol
2016-17,BBSRC,Research and Innovation Grant,BB/P000940/1,The University of Bristol
2016-17,BBSRC,Research and Innovation Grant,BB/P000959/1,The University of Bristol
2016-17,BBSRC,Research and Innovation Grant,BB/P000975/1,STFC - Laboratories
2016-17,BBSRC,Research and Innovation Grant,BB/P001041/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P001076/1,The University of Leicester
2016-17,BBSRC,Research and Innovation Grant,BB/P001076/1,The University of Leicester
2016-17,BBSRC,Research and Innovation Grant,BB/P001149/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P001149/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001149/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P001149/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P001157/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P001157/1,University of Basel
2016-17,BBSRC,Research and Innovation Grant,BB/P001203/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P001203/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P001203/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P001203/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P00122X/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P00122X/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P001262/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P001289/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/P001335/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001335/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001335/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001335/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001335/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001335/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P001432/1,Cranfield University
2016-17,BBSRC,Research and Innovation Grant,BB/P001432/1,Cranfield University
2016-17,BBSRC,Research and Innovation Grant,BB/P001432/1,Cranfield University
2016-17,BBSRC,Research and Innovation Grant,BB/P001440/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P001459/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/P001459/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/P001475/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/P001491/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P001513/1,The University of Leicester
2016-17,BBSRC,Research and Innovation Grant,BB/P001556/1,NERC Centre for Ecology and Hydrology
2016-17,BBSRC,Research and Innovation Grant,BB/P001556/1,UK Centre for Ecology and Hydrology
2016-17,BBSRC,Research and Innovation Grant,BB/P001564/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/P001564/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/P001564/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/P001599/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P001599/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P001610/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P001653/1,The University of Bristol
2016-17,BBSRC,Research and Innovation Grant,BB/P001696/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P00170X/1,The University of Sussex
2016-17,BBSRC,Research and Innovation Grant,BB/P001726/1,The University of Stirling
2016-17,BBSRC,Research and Innovation Grant,BB/P001742/1,Royal Holloway and Bedford New College
2016-17,BBSRC,Research and Innovation Grant,BB/P001742/1,Royal Holloway and Bedford New College
2016-17,BBSRC,Research and Innovation Grant,BB/P001742/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P001807/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/P00184X/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P001874/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P001912/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/P001912/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/P001912/1,The University of Liverpool
