fy_decision_date,ukri_council,grant_category,reference,organisation
2015-16,AHRC,Research and Innovation Grant,AH/M010708/1,The University of Surrey
2015-16,AHRC,Research and Innovation Grant,AH/M010708/1,The University of Surrey
2015-16,AHRC,Fellowship,AH/M010716/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/M010813/1,The University of Lincoln
2015-16,AHRC,Research and Innovation Grant,AH/M010813/1,Aberystwyth University
2015-16,AHRC,Fellowship,AH/M010821/1,University of Northumbria at Newcastle
2015-16,AHRC,Research and Innovation Grant,AH/M01097X/1,University of Plymouth
2015-16,AHRC,Research and Innovation Grant,AH/M01097X/1,Lund University
2015-16,AHRC,Research and Innovation Grant,AH/M011054/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/M011054/1,Cardiff University
2015-16,AHRC,Fellowship,AH/M011089/1,The University of Warwick
2015-16,AHRC,Fellowship,AH/M011097/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/M011119/1,Leeds Beckett University
2015-16,AHRC,Research and Innovation Grant,AH/M011119/1,The University of Huddersfield
2015-16,AHRC,Research and Innovation Grant,AH/M011119/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/M011119/1,University of the Free State
2015-16,AHRC,Research and Innovation Grant,AH/M011143/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/M011151/1,Birkbeck College
2015-16,AHRC,Research and Innovation Grant,AH/M011151/1,Leeds Beckett University
2015-16,AHRC,Research and Innovation Grant,AH/M011186/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/M011186/1,The University of Cambridge
2015-16,AHRC,Fellowship,AH/M011259/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/M011275/1,Kingston University
2015-16,AHRC,Research and Innovation Grant,AH/M011275/1,The University of Cambridge
2015-16,AHRC,Fellowship,AH/M011283/1,The University of Leicester
2015-16,AHRC,Fellowship,AH/M011291/1,The University of Oxford
2015-16,AHRC,Fellowship,AH/M011305/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/M011313/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/M011313/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/M011313/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/M01133X/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/M01133X/1,Lumiere University Lyon 2
2015-16,AHRC,Research and Innovation Grant,AH/M011348/1,University of South Wales
2015-16,AHRC,Research and Innovation Grant,AH/M011348/1,Aarhus University
2015-16,AHRC,Research and Innovation Grant,AH/M011364/1,Liverpool John Moores University
2015-16,AHRC,Research and Innovation Grant,AH/M011364/1,Liverpool John Moores University
2015-16,AHRC,Fellowship,AH/M011496/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N000218/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N000218/1,The University of Aberdeen
2015-16,AHRC,Research and Innovation Grant,AH/N001184/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N001184/1,Michigan State University
2015-16,AHRC,Research and Innovation Grant,AH/N001222/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N001222/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N001222/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/N001400/1,The University of Leeds
